session_date,session_id,student_id,present
2026-09-12,fall-01,S001,1
2026-09-12,fall-01,S002,1
2026-09-12,fall-01,S003,1
2026-09-12,fall-01,S004,1
2026-09-12,fall-01,S005,1
2026-09-12,fall-01,S007,1
2026-09-12,fall-01,S008,1
2026-09-12,fall-01,S009,1
2026-09-12,fall-01,S010,1
2026-09-12,fall-01,S011,1
2026-09-12,fall-01,S012,1
2026-09-12,fall-01,S013,1
2026-09-12,fall-01,S014,1
2026-09-12,fall-01,S015,1
2026-09-12,fall-01,S016,1
2026-09-12,fall-01,S017,1
2026-09-12,fall-01,S018,1
2026-09-12,fall-01,S019,1
2026-09-12,fall-01,S020,1
2026-09-12,fall-01,S022,1
2026-09-12,fall-01,S024,1
2026-09-12,fall-01,S025,1
2026-09-12,fall-01,S026,1
2026-09-26,fall-02,S001,1
2026-09-26,fall-02,S002,1
2026-09-26,fall-02,S003,1
2026-09-26,fall-02,S004,1
2026-09-26,fall-02,S005,1
2026-09-26,fall-02,S006,1
2026-09-26,fall-02,S007,1
2026-09-26,fall-02,S008,1
2026-09-26,fall-02,S009,1
2026-09-26,fall-02,S010,1
2026-09-26,fall-02,S011,1
2026-09-26,fall-02,S012,1
2026-09-26,fall-02,S013,1
2026-09-26,fall-02,S014,1
2026-09-26,fall-02,S015,1
2026-09-26,fall-02,S016,1
2026-09-26,fall-02,S018,1
2026-09-26,fall-02,S020,1
2026-09-26,fall-02,S021,1
2026-09-26,fall-02,S022,1
2026-09-26,fall-02,S023,1
2026-09-26,fall-02,S024,1
2026-09-26,fall-02,S025,1
2026-09-26,fall-02,S026,1
2026-10-10,fall-03,S002,1
2026-10-10,fall-03,S003,1
2026-10-10,fall-03,S004,1
2026-10-10,fall-03,S005,1
2026-10-10,fall-03,S006,1
2026-10-10,fall-03,S007,1
2026-10-10,fall-03,S008,1
2026-10-10,fall-03,S009,1
2026-10-10,fall-03,S011,1
2026-10-10,fall-03,S012,1
2026-10-10,fall-03,S013,1
2026-10-10,fall-03,S014,1
2026-10-10,fall-03,S015,1
2026-10-10,fall-03,S016,1
2026-10-10,fall-03,S017,1
2026-10-10,fall-03,S018,1
2026-10-10,fall-03,S019,1
2026-10-10,fall-03,S020,1
2026-10-10,fall-03,S021,1
2026-10-10,fall-03,S022,1
2026-10-10,fall-03,S023,1
2026-10-10,fall-03,S024,1
2026-10-10,fall-03,S025,1
